,smiles,name,id,inchi_key,atc
203,NC(CCC(O)=O)C=C,vigabatrin,BRD-A07893380,PJDFLNIOAUIZSL-UHFFFAOYSA-N,N03AG04
375,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,hexetidine,BRD-A18605525,DTOUUUZOYKYHEP-UHFFFAOYSA-N,G01AX16
392,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,perhexiline,BRD-A19633847,CYXKNKQEMFBLER-UHFFFAOYSA-N,C08EX02
398,CNC1(C)C2CCC(C2)C1(C)C,mecamylamine,BRD-A20119038,IMYZQPCYWPFTAG-UHFFFAOYSA-N,C02BB01
584,CC(N)CCCC(C)(C)O,heptaminol,BRD-A32988684,LREQLEBVOXIEOM-UHFFFAOYSA-N,C01DX08
771,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,pentobarbital,BRD-A44448661,WEXRUCMBJFQVBZ-UHFFFAOYSA-N,N05CB01
1227,CC(N)C12CC3CC(CC(C3)C1)C2,rimantadine,BRD-A75479906,UBCHPRBFMUDMNC-UHFFFAOYSA-N,J05AC02
1285,CC12CC3CC(C)(C1)CC(N)(C3)C2,memantine,BRD-A79803969,BUGYDGFZZOZRHP-UHFFFAOYSA-N,N06DA52
1558,CCC1(C)CC(=O)NC1=O,ethosuximide,BRD-A99633051,HAPOVYFOVVWLRS-UHFFFAOYSA-N,N03AD01
1560,CC(C[N+](C)(C)C)OC(N)=O,bethanechol,BRD-A99833829,NZUPCNDJBJXXRF-UHFFFAOYSA-O,N07AB02
1563,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,carisoprodol,BRD-A99939097,OFZCIYFFPZCNJE-UHFFFAOYSA-N,M03BA02
1888,C1CC1C(NC1=NCCO1)C1CC1,rilmenidine,BRD-K01638814,CQXADFVORZEARL-UHFFFAOYSA-N,C02AC06
2923,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,dexrazoxane,BRD-K07265709,BMKDZUISNHGIBY-ZETCQYMHSA-N,V03AF02
3139,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,kanamycin,BRD-K08327065,SBUJHOSQTJFQJX-NOAMYHISSA-N,S01AA24
3374,S=P(N1CC1)(N1CC1)N1CC1,thiotepa,BRD-K09631521,FOCVUCIESVLUNU-UHFFFAOYSA-N,L01AC01
4412,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,mupirocin,BRD-K15262564,MINDHVHHQZYEEK-HBBNESRFSA-N,R01AX06
4679,CN1C(=O)OC(C)(C)C1=O,trimethadione,BRD-K16606819,IRYJRGCIQBGHIV-UHFFFAOYSA-N,N03AC02
5905,CS(=O)(=O)OCCCCOS(C)(=O)=O,busulfan,BRD-K23204545,COVZYZSDYWQREU-UHFFFAOYSA-N,L01AB01
6506,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,dinoprostone,BRD-K26521938,XEYBRNLFEZDVAW-ARSRFYASSA-N,G02AD02
7169,C1N2CN3CN1CN(C2)C3,methenamine,BRD-K30114692,VKYKSIONXSXAKP-UHFFFAOYSA-N,J01XX05
7689,CCN(CC)C(=S)SSC(=S)N(CC)CC,disulfiram,BRD-K32744045,AUZONCFQVSMFAP-UHFFFAOYSA-N,P03AA04
9876,OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1,pidotimod,BRD-K44442813,UUTKICFRNVKFRG-WDSKDSINSA-N,L03AX05
9935,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglitol,BRD-K44779798,IBAQFPQHRJAVAV-ULAWRXDQSA-N,A10BF02
10093,CCN(CC)C(=O)N1CCN(C)CC1,diethylcarbamazine,BRD-K45542189,RCKMWOKWVGPNJF-UHFFFAOYSA-N,P02CB02
10823,CC[C@H](N1CCCC1=O)C(N)=O,levetiracetam,BRD-K49404994,HPHUVLMMVZITSG-LURJTMIESA-N,N03AX14
11411,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,alprostadil,BRD-K52459643,GMVPRGQOIOIIMI-DWKJAMRDSA-N,C01EA01
