,signature,target
0,REP.A022_YAPC_24H:E21,BRD-K70330367
1,REP.A022_YAPC_24H:E20,BRD-K70330367
2,REP.A022_HA1E_24H:E22,BRD-K70330367
3,REP.A022_PC3_24H:E22,BRD-K70330367
4,REP.A022_PC3_24H:E21,BRD-K70330367
5,REP.A022_HA1E_24H:E24,BRD-K70330367
6,REP.A022_PC3_24H:E24,BRD-K70330367
7,REP.A022_YAPC_24H:E19,BRD-K70330367
8,REP.A022_PC3_24H:E19,BRD-K70330367
9,REP.A022_PC3_24H:E20,BRD-K70330367
10,REP.A022_HA1E_24H:E20,BRD-K70330367
11,REP.A022_PC3_24H:E23,BRD-K70330367
12,REP.A022_YAPC_24H:E24,BRD-K70330367
13,REP.A022_HA1E_24H:E19,BRD-K70330367
14,REP.A022_HA1E_24H:E23,BRD-K70330367
15,REP.A022_HA1E_24H:E21,BRD-K70330367
16,REP.A022_YAPC_24H:E23,BRD-K70330367
17,REP.A022_HELA_24H:E21,BRD-K70330367
18,REP.A022_HT29_24H:E24,BRD-K70330367
19,REP.A022_HELA_24H:E23,BRD-K70330367
20,REP.A022_HELA_24H:E22,BRD-K70330367
21,REP.A022_HELA_24H:E20,BRD-K70330367
22,REP.A022_HELA_24H:E19,BRD-K70330367
23,REP.A022_HT29_24H:E23,BRD-K70330367
24,REP.A022_HELA_24H:E24,BRD-K70330367
25,REP.A022_HT29_24H:E22,BRD-K70330367
26,REP.A022_HT29_24H:E21,BRD-K70330367
27,REP.A022_HT29_24H:E20,BRD-K70330367
28,REP.A022_HT29_24H:E19,BRD-K70330367
29,REP.A022_MCF7_24H:E20,BRD-K70330367
30,REP.A022_A375_24H:E19,BRD-K70330367
31,REP.A022_MCF7_24H:E19,BRD-K70330367
32,REP.A022_MCF7_24H:E21,BRD-K70330367
33,REP.A022_A375_24H:E24,BRD-K70330367
34,REP.A022_A375_24H:E23,BRD-K70330367
35,REP.A022_A375_24H:E20,BRD-K70330367
36,REP.A022_A375_24H:E22,BRD-K70330367
37,REP.A022_YAPC_24H:E22,BRD-K70330367
38,REP.A022_A375_24H:E21,BRD-K70330367
39,REP.A022_MCF7_24H:E22,BRD-K70330367
40,REP.A022_MCF7_24H:E24,BRD-K70330367
41,REP.A022_MCF7_24H:E23,BRD-K70330367
42,REP.A006_PC3_24H:M19,BRD-K23204545
43,REP.A006_HA1E_24H:M21,BRD-K23204545
44,REP.A006_HA1E_24H:M22,BRD-K23204545
45,REP.A006_HA1E_24H:M23,BRD-K23204545
46,REP.A006_HT29_24H:M23,BRD-K23204545
47,REP.A006_HT29_24H:M20,BRD-K23204545
48,REP.A006_PC3_24H:M21,BRD-K23204545
49,REP.A006_HT29_24H:M22,BRD-K23204545
50,REP.A006_PC3_24H:M22,BRD-K23204545
51,REP.A006_PC3_24H:M23,BRD-K23204545
52,REP.A006_MCF7_24H:M19,BRD-K23204545
53,REP.A006_MCF7_24H:M20,BRD-K23204545
54,REP.A006_PC3_24H:M24,BRD-K23204545
55,REP.A006_MCF7_24H:M21,BRD-K23204545
56,REP.A006_PC3_24H:M20,BRD-K23204545
57,REP.A006_MCF7_24H:M22,BRD-K23204545
58,REP.A006_MCF7_24H:M24,BRD-K23204545
59,REP.A006_HT29_24H:M24,BRD-K23204545
60,REP.A006_HT29_24H:M19,BRD-K23204545
61,REP.A006_HT29_24H:M21,BRD-K23204545
62,REP.A006_HA1E_24H:M24,BRD-K23204545
63,REP.A006_A375_24H:M23,BRD-K23204545
64,REP.A006_YAPC_24H:M19,BRD-K23204545
65,REP.A006_HELA_24H:M21,BRD-K23204545
66,REP.A006_HELA_24H:M22,BRD-K23204545
67,REP.A006_HA1E_24H:M19,BRD-K23204545
68,REP.A006_HA1E_24H:M20,BRD-K23204545
69,REP.A006_HELA_24H:M23,BRD-K23204545
70,REP.A006_HELA_24H:M24,BRD-K23204545
71,REP.A006_A375_24H:M19,BRD-K23204545
72,REP.A006_A375_24H:M20,BRD-K23204545
73,REP.A006_A375_24H:M21,BRD-K23204545
74,REP.A006_A375_24H:M22,BRD-K23204545
75,REP.A006_HELA_24H:M20,BRD-K23204545
76,REP.A006_A375_24H:M24,BRD-K23204545
77,REP.A006_HELA_24H:M19,BRD-K23204545
78,REP.A006_YAPC_24H:M24,BRD-K23204545
79,REP.A006_YAPC_24H:M23,BRD-K23204545
80,REP.A006_YAPC_24H:M22,BRD-K23204545
81,REP.A006_YAPC_24H:M21,BRD-K23204545
82,REP.A006_MCF7_24H:M23,BRD-K23204545
83,REP.A006_YAPC_24H:M20,BRD-K23204545
84,REP.A026_HT29_24H:N21,BRD-A99939097
85,REP.A026_HT29_24H:N20,BRD-A99939097
86,REP.A026_HT29_24H:N19,BRD-A99939097
87,REP.A026_HA1E_24H:N21,BRD-A99939097
88,REP.A026_HT29_24H:N24,BRD-A99939097
89,REP.A026_HA1E_24H:N23,BRD-A99939097
90,REP.A026_HT29_24H:N23,BRD-A99939097
91,REP.A026_HA1E_24H:N22,BRD-A99939097
92,REP.A026_HT29_24H:N22,BRD-A99939097
93,REP.A026_YAPC_24H:N21,BRD-A99939097
94,REP.A026_HELA_24H:N23,BRD-A99939097
95,REP.A026_MCF7_24H:N20,BRD-A99939097
96,REP.A026_MCF7_24H:N21,BRD-A99939097
97,REP.A026_HELA_24H:N24,BRD-A99939097
98,REP.A026_HA1E_24H:N24,BRD-A99939097
99,REP.A026_MCF7_24H:N23,BRD-A99939097
100,REP.A026_MCF7_24H:N24,BRD-A99939097
101,REP.A026_A375_24H:N19,BRD-A99939097
102,REP.A026_PC3_24H:N24,BRD-A99939097
103,REP.A026_PC3_24H:N22,BRD-A99939097
104,REP.A026_PC3_24H:N21,BRD-A99939097
105,REP.A026_PC3_24H:N20,BRD-A99939097
106,REP.A026_PC3_24H:N19,BRD-A99939097
107,REP.A026_HA1E_24H:N19,BRD-A99939097
108,REP.A026_HA1E_24H:N20,BRD-A99939097
109,REP.A026_PC3_24H:N23,BRD-A99939097
110,REP.A026_YAPC_24H:N19,BRD-A99939097
111,REP.A026_MCF7_24H:N22,BRD-A99939097
112,REP.A026_A375_24H:N23,BRD-A99939097
113,REP.A026_HELA_24H:N20,BRD-A99939097
114,REP.A026_HELA_24H:N19,BRD-A99939097
115,REP.A026_A375_24H:N24,BRD-A99939097
116,REP.A026_YAPC_24H:N20,BRD-A99939097
117,REP.A026_A375_24H:N22,BRD-A99939097
118,REP.A026_A375_24H:N21,BRD-A99939097
119,REP.A026_HELA_24H:N21,BRD-A99939097
120,REP.A026_MCF7_24H:N19,BRD-A99939097
121,REP.A026_HELA_24H:N22,BRD-A99939097
122,REP.A026_A375_24H:N20,BRD-A99939097
123,REP.A026_YAPC_24H:N23,BRD-A99939097
124,REP.A026_YAPC_24H:N24,BRD-A99939097
125,REP.A026_YAPC_24H:N22,BRD-A99939097
126,REP.A017_PC3_24H:C09,BRD-K45542189
127,REP.A017_PC3_24H:C08,BRD-K45542189
128,REP.A017_PC3_24H:C10,BRD-K45542189
129,REP.A017_A375_24H:C07,BRD-K45542189
130,REP.A017_A375_24H:C09,BRD-K45542189
131,REP.A017_A375_24H:C08,BRD-K45542189
132,REP.A017_PC3_24H:C07,BRD-K45542189
133,REP.A017_HELA_24H:C10,BRD-K45542189
134,REP.A017_A375_24H:C10,BRD-K45542189
135,REP.A017_PC3_24H:C12,BRD-K45542189
136,REP.A017_PC3_24H:C11,BRD-K45542189
137,REP.A017_YAPC_24H:C07,BRD-K45542189
138,REP.A017_YAPC_24H:C08,BRD-K45542189
139,REP.A017_YAPC_24H:C09,BRD-K45542189
140,REP.A017_YAPC_24H:C10,BRD-K45542189
141,REP.A017_YAPC_24H:C11,BRD-K45542189
142,REP.A017_HA1E_24H:C12,BRD-K45542189
143,REP.A017_MCF7_24H:C07,BRD-K45542189
144,REP.A017_MCF7_24H:C08,BRD-K45542189
145,REP.A017_MCF7_24H:C09,BRD-K45542189
146,REP.A017_MCF7_24H:C10,BRD-K45542189
147,REP.A017_MCF7_24H:C11,BRD-K45542189
148,REP.A017_MCF7_24H:C12,BRD-K45542189
149,REP.A017_HELA_24H:C12,BRD-K45542189
150,REP.A017_HELA_24H:C09,BRD-K45542189
151,REP.A017_YAPC_24H:C12,BRD-K45542189
152,REP.A017_A375_24H:C11,BRD-K45542189
153,REP.A017_HELA_24H:C11,BRD-K45542189
154,REP.A017_A375_24H:C12,BRD-K45542189
155,REP.A017_HT29_24H:C08,BRD-K45542189
156,REP.A017_HT29_24H:C12,BRD-K45542189
157,REP.A017_HT29_24H:C11,BRD-K45542189
158,REP.A017_HT29_24H:C10,BRD-K45542189
159,REP.A017_HELA_24H:C08,BRD-K45542189
160,REP.A017_HT29_24H:C09,BRD-K45542189
161,REP.A017_HA1E_24H:C11,BRD-K45542189
162,REP.A017_HELA_24H:C07,BRD-K45542189
163,REP.A017_HA1E_24H:C09,BRD-K45542189
164,REP.A017_HA1E_24H:C07,BRD-K45542189
165,REP.A017_HA1E_24H:C10,BRD-K45542189
166,REP.A017_HT29_24H:C07,BRD-K45542189
167,REP.A017_HA1E_24H:C08,BRD-K45542189
168,REP.A003_HT29_24H:E21,BRD-K32744045
169,REP.A003_PC3_24H:E21,BRD-K32744045
170,REP.A003_PC3_24H:E20,BRD-K32744045
171,REP.A003_PC3_24H:E19,BRD-K32744045
172,REP.A003_HELA_24H:E22,BRD-K32744045
173,REP.A003_HELA_24H:E23,BRD-K32744045
174,REP.A003_HELA_24H:E24,BRD-K32744045
175,REP.A003_MCF7_24H:E20,BRD-K32744045
176,REP.A003_MCF7_24H:E19,BRD-K32744045
177,REP.A003_HT29_24H:E20,BRD-K32744045
178,REP.A003_YAPC_24H:E20,BRD-K32744045
179,REP.A003_MCF7_24H:E24,BRD-K32744045
180,REP.A003_YAPC_24H:E21,BRD-K32744045
181,REP.A003_YAPC_24H:E23,BRD-K32744045
182,REP.A003_HA1E_24H:E19,BRD-K32744045
183,REP.A003_MCF7_24H:E23,BRD-K32744045
184,REP.A003_HA1E_24H:E20,BRD-K32744045
185,REP.A003_HA1E_24H:E21,BRD-K32744045
186,REP.A003_HA1E_24H:E22,BRD-K32744045
187,REP.A003_HA1E_24H:E23,BRD-K32744045
188,REP.A003_HA1E_24H:E24,BRD-K32744045
189,REP.A003_A375_24H:E22,BRD-K32744045
190,REP.A003_A375_24H:E23,BRD-K32744045
191,REP.A003_A375_24H:E24,BRD-K32744045
192,REP.A003_HELA_24H:E19,BRD-K32744045
193,REP.A003_HELA_24H:E20,BRD-K32744045
194,REP.A003_HELA_24H:E21,BRD-K32744045
195,REP.A003_YAPC_24H:E24,BRD-K32744045
196,REP.A003_PC3_24H:E23,BRD-K32744045
197,REP.A003_PC3_24H:E24,BRD-K32744045
198,REP.A003_YAPC_24H:E22,BRD-K32744045
199,REP.A003_A375_24H:E21,BRD-K32744045
200,REP.A003_PC3_24H:E22,BRD-K32744045
201,REP.A003_YAPC_24H:E19,BRD-K32744045
202,REP.A003_A375_24H:E19,BRD-K32744045
203,REP.A003_MCF7_24H:E22,BRD-K32744045
204,REP.A003_HT29_24H:E22,BRD-K32744045
205,REP.A003_HT29_24H:E24,BRD-K32744045
206,REP.A003_HT29_24H:E19,BRD-K32744045
207,REP.A003_MCF7_24H:E21,BRD-K32744045
208,REP.A003_HT29_24H:E23,BRD-K32744045
209,REP.A003_A375_24H:E20,BRD-K32744045
210,REP.A003_HT29_24H:E21,BRD-K32744045
211,REP.A003_PC3_24H:E21,BRD-K32744045
212,REP.A003_PC3_24H:E20,BRD-K32744045
213,REP.A003_PC3_24H:E19,BRD-K32744045
214,REP.A003_HELA_24H:E22,BRD-K32744045
215,REP.A003_HELA_24H:E23,BRD-K32744045
216,REP.A003_HELA_24H:E24,BRD-K32744045
217,REP.A003_MCF7_24H:E20,BRD-K32744045
218,REP.A003_MCF7_24H:E19,BRD-K32744045
219,REP.A003_HT29_24H:E20,BRD-K32744045
220,REP.A003_YAPC_24H:E20,BRD-K32744045
221,REP.A003_MCF7_24H:E24,BRD-K32744045
222,REP.A003_YAPC_24H:E21,BRD-K32744045
223,REP.A003_YAPC_24H:E23,BRD-K32744045
224,REP.A003_HA1E_24H:E19,BRD-K32744045
225,REP.A003_MCF7_24H:E23,BRD-K32744045
226,REP.A003_HA1E_24H:E20,BRD-K32744045
227,REP.A003_HA1E_24H:E21,BRD-K32744045
228,REP.A003_HA1E_24H:E22,BRD-K32744045
229,REP.A003_HA1E_24H:E23,BRD-K32744045
230,REP.A003_HA1E_24H:E24,BRD-K32744045
231,REP.A003_A375_24H:E22,BRD-K32744045
232,REP.A003_A375_24H:E23,BRD-K32744045
233,REP.A003_A375_24H:E24,BRD-K32744045
234,REP.A003_HELA_24H:E19,BRD-K32744045
235,REP.A003_HELA_24H:E20,BRD-K32744045
236,REP.A003_HELA_24H:E21,BRD-K32744045
237,REP.A003_YAPC_24H:E24,BRD-K32744045
238,REP.A003_PC3_24H:E23,BRD-K32744045
239,REP.A003_PC3_24H:E24,BRD-K32744045
240,REP.A003_YAPC_24H:E22,BRD-K32744045
241,REP.A003_A375_24H:E21,BRD-K32744045
242,REP.A003_PC3_24H:E22,BRD-K32744045
243,REP.A003_YAPC_24H:E19,BRD-K32744045
244,REP.A003_A375_24H:E19,BRD-K32744045
245,REP.A003_MCF7_24H:E22,BRD-K32744045
246,REP.A003_HT29_24H:E22,BRD-K32744045
247,REP.A003_HT29_24H:E24,BRD-K32744045
248,REP.A003_HT29_24H:E19,BRD-K32744045
249,REP.A003_MCF7_24H:E21,BRD-K32744045
250,REP.A003_HT29_24H:E23,BRD-K32744045
251,REP.A003_A375_24H:E20,BRD-K32744045
252,REP.A028_YAPC_24H:L24,BRD-A96292436
253,REP.A028_A375_24H:L23,BRD-A96292436
254,REP.A028_A375_24H:L24,BRD-A96292436
255,REP.A028_YAPC_24H:L20,BRD-A96292436
256,REP.A028_YAPC_24H:L21,BRD-A96292436
257,REP.A028_A375_24H:L22,BRD-A96292436
258,REP.A028_YAPC_24H:L22,BRD-A96292436
259,REP.A028_YAPC_24H:L19,BRD-A96292436
260,REP.A028_YAPC_24H:L23,BRD-A96292436
261,REP.A028_PC3_24H:L19,BRD-A96292436
262,REP.A028_A375_24H:L20,BRD-A96292436
263,REP.A028_HT29_24H:L19,BRD-A96292436
264,REP.A028_MCF7_24H:L19,BRD-A96292436
265,REP.A028_MCF7_24H:L20,BRD-A96292436
266,REP.A028_MCF7_24H:L21,BRD-A96292436
267,REP.A028_MCF7_24H:L22,BRD-A96292436
268,REP.A028_MCF7_24H:L23,BRD-A96292436
269,REP.A028_MCF7_24H:L24,BRD-A96292436
270,REP.A028_HA1E_24H:L24,BRD-A96292436
271,REP.A028_A375_24H:L21,BRD-A96292436
272,REP.A028_HA1E_24H:L23,BRD-A96292436
273,REP.A028_HA1E_24H:L21,BRD-A96292436
274,REP.A028_HA1E_24H:L20,BRD-A96292436
275,REP.A028_PC3_24H:L24,BRD-A96292436
276,REP.A028_PC3_24H:L23,BRD-A96292436
277,REP.A028_PC3_24H:L22,BRD-A96292436
278,REP.A028_PC3_24H:L21,BRD-A96292436
279,REP.A028_PC3_24H:L20,BRD-A96292436
280,REP.A028_HA1E_24H:L19,BRD-A96292436
281,REP.A028_HA1E_24H:L22,BRD-A96292436
282,REP.A028_HT29_24H:L21,BRD-A96292436
283,REP.A028_HT29_24H:L20,BRD-A96292436
284,REP.A028_HELA_24H:L23,BRD-A96292436
285,REP.A028_HT29_24H:L22,BRD-A96292436
286,REP.A028_HT29_24H:L23,BRD-A96292436
287,REP.A028_HT29_24H:L24,BRD-A96292436
288,REP.A028_A375_24H:L19,BRD-A96292436
289,REP.A028_HELA_24H:L24,BRD-A96292436
290,REP.A028_HELA_24H:L19,BRD-A96292436
291,REP.A028_HELA_24H:L22,BRD-A96292436
292,REP.A028_HELA_24H:L21,BRD-A96292436
293,REP.A028_HELA_24H:L20,BRD-A96292436
294,REP.A028_YAPC_24H:L24,BRD-A96292436
295,REP.A028_A375_24H:L23,BRD-A96292436
296,REP.A028_A375_24H:L24,BRD-A96292436
297,REP.A028_YAPC_24H:L20,BRD-A96292436
